hand_id,bankroll_bb
256675842350,0.0000
256675846130,0.0000
256675849662,0.0000
256675854847,0.0000
256675863627,0.0000
256675866589,0.0000
256675873722,0.0000
256675875578,0.0000
256675878443,0.0000
256675881932,0.0000
256675888203,0.0000
256675890722,0.0000
256675896619,0.0000
256675901540,0.0000
256675905374,0.0000
256675913064,0.0000
256675921383,0.0000
256675925880,0.0000
256675929113,0.0000
256675931982,0.0000
256675936134,0.0000
256675945243,0.0000
256675953532,0.0000
256675957480,0.0000
256675959255,0.0000
256675970797,0.0000
256675972359,0.0000
256675976844,0.0000
256675981843,0.0000
256675985130,0.0000
256675987495,0.0000
256675989488,0.0000
256675992141,0.0000
256676006467,0.0000
256676014951,0.0000
256676019061,0.0000
256676022309,0.0000
256676032519,0.0000
256676036223,0.0000
256676044840,0.0000
256676054192,0.0000
256676059113,0.0000
256676195379,0.0000
256676198336,0.0000
256676200453,0.0000
256676207868,0.0000
256676209929,0.0000
256676212381,0.0000
256676214849,0.0000
256675389792,0.0000
256675392061,0.0000
256675398416,0.0000
256675406067,0.0000
256675413131,0.0000
256675417883,0.0000
256675421316,0.0000
256675429110,0.0000
256675432051,0.0000
256675442732,0.0000
256675450799,0.0000
256675457225,0.0000
256675463253,0.0000
256675472195,0.0000
256675480724,0.0000
256675488903,0.0000
256675494798,0.0000
256675501893,0.0000
256675505790,0.0000
256675509974,0.0000
256675513568,0.0000
256675516482,0.0000
256675521947,0.0000
256675527016,0.0000
256675540511,0.0000
256675545043,0.0000
256675548125,0.0000
256675556426,0.0000
256675563635,0.0000
256675566197,0.0000
256675571545,0.0000
256675577288,0.0000
256675582223,0.0000
256675706258,0.0000
256675709607,0.0000
256675718137,0.0000
256675723523,0.0000
256675727530,0.0000
256675730733,0.0000
256675734926,0.0000
256675738835,0.0000
256675741829,0.0000
256675748853,0.0000
256675751387,0.0000
256675762314,0.0000
256675771489,0.0000
256675780913,0.0000
256675786707,0.0000
256675790286,0.0000
256675791829,0.0000
256675796818,0.0000
256675798372,0.0000
256675799883,0.0000
256675802614,0.0000
256675811456,0.0000
256675818284,0.0000
256675822591,0.0000
256676219955,0.0000
256676223356,0.0000
256676227471,0.0000
256676229661,0.0000
256676233214,0.0000
256676236599,0.0000
256676245358,0.0000
256676250138,0.0000
256676263210,0.0000
256676265775,0.0000
256676273565,0.0000
256676277235,0.0000
256676279947,0.0000
256676283593,0.0000
256676288967,0.0000
256676317331,0.0000
256676322401,0.0000
256676334346,0.0000
256676350739,0.0000
256676353835,0.0000
256676368926,0.0000
256676376085,0.0000
256676378161,0.0000
256676380513,0.0000
256676383004,0.0000
256676385594,0.0000
256676389503,0.0000
256676395319,0.0000
256676405356,0.0000
256676419305,0.0000
256676422958,0.0000
256676431863,0.0000
256676455804,0.0000
256676464365,0.0000
256676467945,0.0000
256676469336,0.0000
256676473037,0.0000
256676476399,0.0000
256676479920,0.0000
256676485505,0.0000
256676488659,0.0000
256676490565,0.0000
256676491755,0.0000
256676501914,0.0000
256676504420,0.0000
256676509169,0.0000
256676516668,0.0000
256676518610,0.0000
256676522392,0.0000
256676533962,0.0000
256676549382,0.0000
256676558838,0.0000
256676564456,0.0000
256676572015,0.0000
256676709677,0.0000
256676723065,0.0000
256676726563,0.0000
256676730107,0.0000
256676737778,0.0000
256676743234,0.0000
256676758693,0.0000
256676766658,0.0000
256676777964,0.0000
256676781446,0.0000
256676786232,0.0000
256676789227,0.0000
256676801534,0.0000
256676812445,0.0000
256676815929,0.0000
256676833574,0.0000
256676837300,0.0000
256676841594,0.0000
256676856444,0.0000
256676862745,0.0000
256676866634,0.0000
256676869350,0.0000
256676873931,0.0000
256676892736,0.0000
256676908895,0.0000
256676915647,0.0000
256676919925,0.0000
256676923904,0.0000
256676941885,0.0000
256676947630,0.0000
256676962953,0.0000
256676967552,0.0000
256676979117,0.0000
256676986415,0.0000
256676999203,0.0000
256677005620,0.0000
256677012887,0.0000
256677027503,0.0000
256677031282,0.0000
256677038389,0.0000
256677043256,0.0000
256677064377,0.0000
256677077061,0.0000
256677083781,0.0000
256677104755,0.0000
256677113626,0.0000
256677117351,0.0000
256677127934,0.0000
256677134608,0.0000
256677142757,0.0000
256677146568,0.0000
256677151953,0.0000
256677584297,0.0000
256677594485,0.0000
256677604121,0.0000
